estacion_VAL01_20240101.jsonl;VAL01;2024-04-08T11:31:49;Humedad;2.22;20.0
estacion_STG03_20240101.jsonl;STG03;2024-03-25T18:02:35;Humedad;2.92;20.0
estacion_STG03_20240101.jsonl;STG03;2024-11-26T09:18:45;Humedad;10.78;20.0
estacion_CON04_20240101.jsonl;CON04;2024-11-30T17:54:33;Humedad;10.03;20.0
estacion_CON04_20240101.jsonl;CON04;2024-12-10T15:34:48;Humedad;16.7;20.0
estacion_CON04_20240101.jsonl;CON04;2024-11-14T18:26:07;Humedad;12.58;20.0
estacion_VAL02_20240101.jsonl;VAL02;2024-03-11T04:33:34;Humedad;19.7;20.0
estacion_VAL02_20240101.jsonl;VAL02;2024-12-04T23:12:51;Humedad;15.56;20.0
estacion_CON01_20240101.jsonl;CON01;2024-10-28T15:43:56;Humedad;4.89;20.0
estacion_CON01_20240101.jsonl;CON01;2024-08-08T14:23:57;Humedad;2.5;20.0
estacion_PUN02_20240101.jsonl;PUN02;2024-05-21T04:32:16;Humedad;0.76;20.0
estacion_PUN02_20240101.jsonl;PUN02;2024-12-16T06:16:27;Humedad;12.35;20.0
estacion_PUN02_20240101.jsonl;PUN02;2024-02-28T01:57:23;Humedad;19.14;20.0
estacion_PUN04_20240101.jsonl;PUN04;2024-01-27T08:38:35;Humedad;16.68;20.0
estacion_PUN04_20240101.jsonl;PUN04;2024-02-17T02:30:12;Humedad;14.24;20.0
estacion_VAL03_20240101.jsonl;VAL03;2024-02-29T06:01:40;Humedad;5.8;20.0
estacion_VAL03_20240101.jsonl;VAL03;2024-04-09T14:33:01;Humedad;17.89;20.0
estacion_PUN01_20240101.jsonl;PUN01;2024-06-15T09:52:37;Humedad;14.58;20.0
estacion_PUN01_20240101.jsonl;PUN01;2024-12-17T15:48:16;Humedad;15.81;20.0
estacion_PUN01_20240101.jsonl;PUN01;2024-11-21T01:09:02;Humedad;8.5;20.0
estacion_CON02_20240101.jsonl;CON02;2024-04-27T08:33:08;Humedad;17.39;20.0
estacion_CON02_20240101.jsonl;CON02;2024-06-02T14:20:06;Humedad;11.86;20.0
estacion_CON03_20240101.jsonl;CON03;2024-08-18T17:16:00;Humedad;11.12;20.0
estacion_CON03_20240101.jsonl;CON03;2024-10-23T11:03:05;Humedad;17.25;20.0
estacion_PUN03_20240101.jsonl;PUN03;2024-04-30T16:11:08;Humedad;13.07;20.0
estacion_PUN03_20240101.jsonl;PUN03;2024-02-23T04:40:51;Humedad;1.14;20.0
estacion_STG01_20240101.jsonl;STG01;2024-01-04T15:14:35;Humedad;13.96;20.0
estacion_STG01_20240101.jsonl;STG01;2024-04-17T04:26:01;Humedad;14.45;20.0
estacion_STG01_20240101.jsonl;STG01;2024-05-12T22:25:53;Humedad;11.25;20.0
estacion_STG02_20240101.jsonl;STG02;2024-04-02T00:42:58;Humedad;13.1;20.0
estacion_STG02_20240101.jsonl;STG02;2024-03-01T21:49:27;Humedad;16.3;20.0
estacion_VAL04_20240101.jsonl;VAL04;2024-07-23T14:46:49;Humedad;6.26;20.0
estacion_VAL04_20240101.jsonl;VAL04;2024-09-11T12:23:29;Humedad;18.22;20.0
estacion_VAL04_20240101.jsonl;VAL04;2024-08-27T04:20:38;Humedad;6.89;20.0
estacion_STG04_20240101.jsonl;STG04;2024-05-24T02:53:43;Humedad;5.54;20.0
