[2026-09-08 19:58:25] --- INICIO DE GESTIÓN DE INCIDENCIAS ---
[2026-09-08 19:58:25] Resumen copiado correctamente a gestion_ambiental/resumen_resguardado.txt
[2026-09-08 19:58:25] Informe movido: informe_PUN02_20240101.txt -> criticas (29 alertas)
[2026-09-08 19:58:25] Informe movido: informe_CON02_20240101.txt -> criticas (27 alertas)
[2026-09-08 19:58:25] Informe movido: informe_CON01_20240101.txt -> criticas (26 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG01_20240101.txt -> criticas (29 alertas)
[2026-09-08 19:58:25] Informe movido: informe_PUN01_20240101.txt -> criticas (29 alertas)
[2026-09-08 19:58:25] Informe movido: informe_PUN04_20240101.txt -> criticas (29 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG02_20240101.txt -> criticas (23 alertas)
[2026-09-08 19:58:25] Informe movido: informe_VAL01_20240101.txt -> criticas (30 alertas)
[2026-09-08 19:58:25] Informe movido: informe_VAL04_20240101.txt -> criticas (22 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG04_20240101.txt -> criticas (33 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG03_20240101.txt -> criticas (31 alertas)
[2026-09-08 19:58:25] Informe movido: informe_VAL03_20240101.txt -> criticas (25 alertas)
[2026-09-08 19:58:25] Informe movido: informe_CON04_20240101.txt -> criticas (30 alertas)
[2026-09-08 19:58:25] Informe movido: informe_VAL02_20240101.txt -> criticas (26 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG04_20240102.txt -> criticas (25 alertas)
[2026-09-08 19:58:25] Informe movido: informe_CON03_20240101.txt -> criticas (23 alertas)
[2026-09-08 19:58:25] Informe movido: informe_PUN03_20240101.txt -> criticas (33 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG02_20240102.txt -> criticas (32 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG03_20240102.txt -> criticas (32 alertas)
[2026-09-08 19:58:25] Informe movido: informe_STG01_20240102.txt -> criticas (28 alertas)
[2026-09-08 19:58:25] Inventario generado exitosamente
[2026-09-08 19:58:25] --- FIN DE GESTIÓN DE INCIDENCIAS ---
